channel_name,num_samples,num_spikes,min,max,sigma,polarity,d_prime,cell_type
12a,2868,4173,-0.19781931464174457,0.10436137071651086,0.01998090262738869,0.52755905511811,15.123475199966354,unknown
12b,1123,1239,-0.2861178369652946,0.20379338175948347,0.026304851180740853,0.7122708039492244,18.62436762552253,OFF
12c,80,80,-0.3375,0.26249999999999996,0.06262695769335708,0.7777777777777776,9.580538830223949,unknown
13a,6610,8830,-0.10135900339750847,0.08221970554926383,0.0111001357063146,0.8111731843575417,16.53842023231651,unknown
13b,648,998,-0.36673346693386777,0.22244488977955912,0.03458206839229671,0.6065573770491802,17.037105763305604,unknown
13c,458,628,-0.33757961783439494,0.3694267515923567,0.04155987799756897,1.0943396226415094,17.011752764724378,unknown
13d,288,342,-0.13450292397660818,0.0935672514619883,0.03199344911942713,0.6956521739130435,7.128652324644398,unknown
13e,112,112,-0.13392857142857145,0.1517857142857143,0.04860339707490192,1.1333333333333333,5.878483869635203,unknown
14a,712,863,-0.2624565469293163,0.11297798377752033,0.02848790508079794,0.43046357615894065,13.178734260803736,OFF
14b,655,760,-0.2605263157894737,0.13026315789473686,0.02846648668480596,0.5,13.728054255911923,OFF
14c,208,214,-0.11214953271028039,0.3457943925233645,0.04301712092569289,3.0833333333333335,10.645620054970443,unknown
14d,68,73,-0.18493150684931509,0.17123287671232879,0.0659974989803652,0.9259259259259259,5.396634555312554,unknown
16a,1119,1600,-0.070625,0.06374999999999997,0.017675373726040684,0.9026548672566369,7.602385221537277,unknown
16b,184,234,-0.13675213675213682,0.13247863247863245,0.04009329055942922,0.9687499999999993,6.715107826624897,unknown
16c,92,102,-0.1764705882352941,0.16666666666666663,0.056469404004547225,0.9444444444444443,6.076516318010536,unknown
17a,2704,2743,-0.10590594239883339,0.2375136711629603,0.02007142937563905,2.2426850258175564,17.109873299736513,ON
17b,371,432,-0.11342592592592587,0.11111111111111116,0.028432172340814767,0.9795918367346947,7.897287423047556,unknown
17c,210,394,-0.11421319796954321,0.11928934010152281,0.038398818697268536,1.0444444444444436,6.080982332086065,unknown
17d,76,88,-0.17045454545454553,0.21590909090909094,0.05910315070028833,1.2666666666666664,6.537107274075519,unknown
21a,2084,3114,-0.40205523442517666,0.2736030828516378,0.02793966357983864,0.6805111821086263,24.182764955136108,OFF
21b,63,241,-0.3257261410788382,0.421161825726141,0.08341332584115707,1.2929936305732481,8.954060508596294,unknown
21c,58,121,-0.4669421487603306,0.37603305785123964,0.08742740679430756,0.8053097345132743,9.642001719150347,unknown
21d,212,246,-0.17479674796747968,0.16666666666666663,0.04184571720791206,0.953488372093023,8.160056450641584,unknown
21e,132,138,-0.3695652173913043,0.28260869565217406,0.05605636636187313,0.7647058823529416,11.63425236722186,unknown
22a,1803,2860,-0.22132867132867134,0.17622377622377627,0.02264388589069921,0.7962085308056873,17.55672367681993,ON/OFF
22b,1649,2413,-0.04164939908827192,0.052838789888106086,0.01507533247603629,1.2686567164179086,6.267734998652679,ON/OFF
23a,154,361,-0.16481994459833788,0.15650969529085867,0.050153660926195484,0.9495798319327732,6.406902984849998,unknown
23b,568,1130,-0.4646017699115044,0.23893805309734517,0.038861625067983616,0.5142857142857143,18.103715986608734,ON/OFF
23c,68,140,-0.37142857142857144,0.23571428571428577,0.07591123214233783,0.6346153846153847,7.998063527732367,unknown
23d,76,84,-0.35714285714285715,0.23809523809523814,0.06299291163640508,0.6666666666666667,9.449286908244662,unknown
25a,3699,4898,-0.02878726010616578,0.1102490812576562,0.011519714898859956,3.829787234042554,12.069425553021427,ON
25b,1157,2190,-0.38310502283105025,0.4031963470319636,0.03686511479358066,1.052443384982122,21.329144755570734,ON/OFF
25c,1328,1507,-0.12110152621101528,0.0719973457199734,0.018711523588416875,0.5945205479452049,10.319783475597038,unknown
26a,3192,5308,-0.27072343632253204,0.15523737754333078,0.026622440191931863,0.5734168406402225,16.000066515125596,ON/OFF
26b,688,1121,-0.3617305976806423,0.3956289027653881,0.045563585056255684,1.0937114673242911,16.622034888408066,ON/OFF
26c,249,360,-0.30833333333333335,0.1777777777777778,0.0471268432388623,0.5765765765765767,10.314951685757055,unknown
26d,83,207,-0.3115942028985507,0.2439613526570048,0.07804511618924799,0.7829457364341085,7.118389755592324,unknown
27a,5131,6080,-0.08947368421052632,0.06513157894736843,0.010302792343251212,0.7279411764705883,15.006151537079953,ON/OFF
27b,2650,3056,-0.09325916230366488,0.17342931937172779,0.016171024735034355,1.8596491228070189,16.491749041581443,ON
27c,1118,1177,-0.06924384027187758,0.19753610875106198,0.021982686828294483,2.8527607361963216,12.135911824916699,unknown
27d,978,1331,-0.27761081893313294,0.13561232156273484,0.026937273036483283,0.4884979702300409,15.340199430588498,unknown
28a,3789,5535,-0.23676603432700988,0.1354110207768744,0.023469028072314532,0.5719191148416635,15.85822190663816,unknown
28b,2772,3152,-0.031091370558375575,0.08439086294416243,0.012587235913647936,2.7142857142857193,9.174550655503669,unknown
28c,730,1149,-0.3320278503046127,0.4364664926022628,0.04069673989312224,1.3145478374836173,18.883437467598018,ON
31a,7027,11785,-0.19953330504879085,0.1313109885447603,0.014102110559222713,0.6580905804805444,23.460622592919652,unknown
31b,1363,2909,-0.44087315228600893,0.44946717084908916,0.03669246204197388,1.0194931773879146,24.26493818039805,ON
31c,255,273,-0.08974358974358976,0.206959706959707,0.034889133406660174,2.306122448979592,8.504175017619025,unknown
31d,311,313,-0.11341853035143767,0.30830670926517567,0.03394506289362561,2.71830985915493,12.423757791764388,unknown
32a,4479,5544,-0.1654040404040404,0.1433982683982684,0.014397045445950362,0.8669574700109053,21.449005628385336,unknown
32b,6048,9649,-0.06161260234221161,0.11996061768058863,0.01160360778911118,1.9470142977291842,15.647997012893565,unknown
32c,952,973,-0.04984583761562178,0.062178828365878736,0.016667901662806732,1.2474226804123716,6.72098193568515,unknown
33a,954,1244,-0.407556270096463,0.39951768488745976,0.03544055111792537,0.9802761341222879,22.77261299629495,ON
33b,601,969,-0.3606811145510836,0.2554179566563467,0.03576786426747573,0.7081545064377681,17.22493315788102,ON/OFF
33c,59,61,-0.2704918032786885,0.28688524590163933,0.06985270716827588,1.0606060606060608,7.979319224344461,unknown
33d,73,73,-0.2123287671232877,0.18493150684931492,0.0631321856931303,0.8709677419354831,6.292515768479569,unknown
35a,6150,9247,-0.16043040986265816,0.14356007353736344,0.015593295310196424,0.8948432760364002,19.49494813974586,unknown
35b,191,222,-0.43243243243243246,0.25225225225225223,0.04984491901419239,0.5833333333333333,13.736298467848524,unknown
35c,28,28,-0.4642857142857143,0.3214285714285714,0.09924310124546562,0.6923076923076922,7.91706703895637,unknown
35d,96,118,-0.4067796610169492,0.2966101694915254,0.0643564848828665,0.7291666666666666,10.929587465640727,unknown
35e,107,130,-0.4230769230769231,0.2384615384615385,0.060882238635943435,0.5636363636363637,10.865869527141614,unknown
35f,73,73,-0.3219178082191781,0.15753424657534243,0.058600756006291124,0.48936170212765945,8.181670126287255,unknown
35g,88,88,-0.1477272727272727,0.17045454545454541,0.05199697970484584,1.1538461538461537,6.1192365400439845,unknown
36a,8008,13565,-0.07957980095834871,0.0862145226686325,0.009337542052709806,1.0833719314497448,17.75567089187746,unknown
36b,4742,8730,-0.1847651775486827,0.17754868270332191,0.02128605695633786,0.9609423434593926,17.02118250435888,unknown
36c,2337,4098,-0.08906783796974133,0.048072230356271395,0.01329027295777408,0.5397260273972608,10.318830076833999,ON/OFF
36d,227,234,-0.26495726495726496,0.26068376068376065,0.04227313214470113,0.9838709677419354,12.434399794218082,unknown
37a,5073,6688,-0.1907894736842105,0.18122009569378006,0.016184437737288664,0.9498432601880886,22.98563443578191,unknown
37b,5367,9568,-0.1445443143812709,0.11298076923076927,0.013760126413828237,0.7816341287057125,18.71531378906813,ON/OFF
37c,824,1538,-0.47334200260078024,0.4694408322496748,0.041803805322167965,0.9917582417582416,22.552560169696097,ON/OFF
37d,908,1073,-0.1598322460391426,0.10298229263746506,0.021874342119626536,0.6443148688046647,12.014740248613005,unknown
37e,65,65,-0.3923076923076923,0.3615384615384616,0.06782595798750707,0.9215686274509806,11.114419555784314,unknown
38a,6602,9137,-0.13839334573711282,0.10238590346941012,0.0119558434099096,0.7398181099248718,20.139043390862167,unknown
41a,1006,1260,-0.39444444444444443,0.1865079365079365,0.033377748569990484,0.4728370221327968,17.405379507074,OFF
41b,260,266,-0.09398496240601506,0.17293233082706772,0.033210625854952484,1.84,8.03710518431194,unknown
41c,22,22,-0.3181818181818181,0.2727272727272727,0.1082161467008442,0.8571428571428572,5.46045214992377,unknown
41d,114,114,-0.13157894736842107,0.14912280701754388,0.047281019295857006,1.1333333333333333,5.936880350008897,unknown
42a,8822,15907,-0.020336958571697983,0.016753630477148396,0.006220453376755371,0.8238021638330748,5.962682589575661,unknown
42b,191,203,-0.27339901477832507,0.14532019704433496,0.04213455921346637,0.5315315315315317,9.93766683783975,unknown
42c,108,124,-0.16935483870967744,0.15322580645161288,0.05066401785638894,0.9047619047619045,6.367056124045867,unknown
43a,3805,4687,-0.27853637721356944,0.1714316193727331,0.021040746352520037,0.615472998851015,21.38555301449229,unknown
43b,919,1006,-0.055666003976143075,0.05367793240556662,0.01716363639665397,0.9642857142857157,6.370674247272341,unknown
43c,506,568,-0.17077464788732388,0.20774647887323938,0.02880451130281375,1.2164948453608249,13.141036234959058,unknown
45a,646,1132,-0.34275618374558303,0.4328621908127208,0.04500977225337452,1.2628865979381443,17.232221709367867,ON
45b,402,487,-0.08316221765913762,0.27823408624229984,0.03276863521974376,3.345679012345678,11.028726142481787,unknown
45c,102,107,-0.2570093457943925,0.2009345794392523,0.05789260949561473,0.7818181818181817,7.9102311888071535,unknown
46a,4073,5468,-0.11265544989027065,0.08302852962692031,0.013330618232304432,0.7370129870129876,14.679287644963452,unknown
46b,2382,2762,-0.06661839246922518,0.07023895727733531,0.013572497252552915,1.0543478260869574,10.08343175172265,unknown
47a,2541,3071,-0.3228590035818951,0.22582220774991857,0.02498220580492229,0.6994452849218356,21.96288092477831,OFF
48a,300,309,-0.13754045307443358,0.09546925566343045,0.03299399090726424,0.6941176470588242,7.062186244543174,unknown
48b,230,236,-0.11016949152542371,0.2118644067796609,0.033969278511966086,1.9230769230769222,9.480151254659244,unknown
48c,231,231,-0.09307359307359309,0.10606060606060608,0.033248892380896206,1.1395348837209303,5.989197981482703,unknown
48d,65,66,-0.18181818181818182,0.40909090909090917,0.0678388917603446,2.2500000000000004,8.71047677188778,unknown
48e,40,40,-0.275,0.44999999999999996,0.08269241551373435,1.636363636363636,8.76743042872638,unknown
51a,6507,8924,-0.13805468399820708,0.10443747198565667,0.012690408365046002,0.7564935064935066,19.108302034769448,unknown
51b,114,119,-0.1386554621848739,0.16386554621848737,0.04763235068824192,1.181818181818182,6.351166886206999,unknown
53a,303,478,-0.09832635983263599,0.08368200836820083,0.029961585698230413,0.8510638297872339,6.074724149582863,unknown
53b,273,315,-0.10952380952380952,0.07777777777777772,0.031032304121908563,0.7101449275362314,6.035697077657659,unknown
53c,151,163,-0.11349693251533743,0.1380368098159509,0.04215601338126865,1.216216216216216,5.966734568953651,unknown
53d,114,120,-0.24166666666666664,0.15833333333333333,0.05104282922783178,0.6551724137931035,7.836556202920951,unknown
54a,3140,7687,-0.40490438402497725,0.20534668921555876,0.03071782391147112,0.5071485943775101,19.866351047498735,OFF
54b,1940,2050,-0.3053658536585365,0.15268292682926832,0.022006113755999045,0.5000000000000002,20.81461477326668,unknown
54c,873,1231,-0.060519902518277824,0.07108042242079615,0.019355267377096662,1.1744966442953029,6.7991995344274265,unknown
54d,281,357,-0.08823529411764708,0.10504201680672265,0.03337192586121189,1.1904761904761898,5.791613937061255,unknown
56a,3472,6695,-0.30448095593726665,0.19648991784914116,0.02706548918850546,0.64532744665195,18.509581345352775,OFF
56b,2731,2961,-0.029888551165146993,0.03394123606889565,0.010540111561130355,1.1355932203389802,6.055892944191696,unknown
58a,85,100,-0.18,0.16000000000000003,0.05764309203156924,0.8888888888888891,5.898365060184369,unknown
61a,4417,8017,-0.31202444804789825,0.22832730447798433,0.024268077574957005,0.7317609434339397,22.265947966290028,OFF
61b,1812,2148,-0.0516759776536313,0.09031657355679701,0.014466308500288797,1.747747747747747,9.815396319495996,unknown
62a,3910,4582,-0.05085115670013107,0.04321257092972497,0.010497983224900163,0.849785407725319,8.960171264776488,unknown
62b,2193,2308,-0.13128249566724443,0.051559792027729645,0.014083979555540097,0.3927392739273926,12.982288633261396,unknown
63a,1601,1785,-0.33305322128851544,0.1492997198879552,0.02775100117701962,0.4482758620689655,17.381460874136074,OFF
63b,1627,1804,-0.30210643015521066,0.16407982261640797,0.025733665609768662,0.5431192660550458,18.1158121754194,unknown
63c,1133,1435,-0.05331010452961671,0.04634146341463419,0.016528797424078114,0.869281045751635,6.028966620347392,unknown
63d,577,605,-0.15619834710743802,0.13140495867768598,0.02397871752792306,0.8412698412698414,11.994107084760135,unknown
63e,41,47,-0.2021276595744681,0.2234042553191491,0.07964091852071375,1.1052631578947376,5.343131681522996,unknown
64a,1310,1461,-0.339151266255989,0.22005475701574262,0.026329207192876687,0.6488395560040363,21.23899968484519,unknown
65a,691,796,-0.2902010050251256,0.14070351758793975,0.032099046068838503,0.48484848484848514,13.424215837721857,OFF
65b,242,315,-0.21746031746031752,0.23333333333333328,0.04025631311108284,1.0729927007299265,11.198085864190682,unknown
65c,228,233,-0.15665236051502152,0.1566523605150214,0.0370883720694396,0.9999999999999993,8.447518819198928,unknown
68a,345,388,-0.08505154639175255,0.08247422680412375,0.029369402077532532,0.9696969696969705,5.704092059948092,unknown
68b,315,360,-0.08611111111111108,0.07777777777777772,0.03296737406437791,0.9032258064516125,4.97124486071746,unknown
71a,8653,18485,-0.09464430619421149,0.0717067892886124,0.008517240322543975,0.757645041440412,19.531102702657716,unknown
71b,3956,7557,-0.29555379118697894,0.1370252745798597,0.01824230650626944,0.4636221177524064,23.712958973590958,ON/OFF
71c,2337,2912,-0.059409340659340726,0.13461538461538458,0.014100298586535803,2.2658959537572225,13.760327420299955,ON/OFF
72a,5716,11633,-0.28199948422590904,0.21606636293303538,0.020391593119201443,0.7661941777168116,24.425058123092306,OFF
72b,383,681,-0.1754772393538913,0.1916299559471366,0.0343398328932345,1.0920502092050213,10.690418804377872,unknown
72c,366,443,-0.08465011286681717,0.1975169300225733,0.032269465288363886,2.333333333333332,8.744087959559023,unknown
72d,130,132,-0.26515151515151514,0.18939393939393945,0.04835214081714431,0.7142857142857145,9.400730699069388,unknown
72e,37,39,-0.26923076923076916,0.2435897435897436,0.08572803762125422,0.9047619047619051,5.9819462459428925,unknown
73a,1546,3329,-0.32907780114148394,0.3672273956142986,0.0302602577098095,1.11592879963487,23.01055078357976,ON
73b,837,1269,-0.2501970055161544,0.2486209613869188,0.029333997775760012,0.9937007874015747,17.00477277990621,unknown
73c,765,802,-0.270573566084788,0.26932668329177056,0.02985078841633303,0.9953917050691246,18.086632816744935,unknown
74a,1170,1975,-0.1668354430379747,0.11012658227848093,0.020652050027182976,0.6600910470409705,13.410873252384542,OFF
74b,381,483,-0.19358178053830227,0.09627329192546585,0.031305624089536535,0.49732620320855625,9.258881779029862,OFF
74c,76,85,-0.17058823529411765,0.2529411764705882,0.0647145923321354,1.482758620689655,6.544573588457782,unknown
74d,107,109,-0.22477064220183485,0.16972477064220182,0.05239261977992817,0.7551020408163265,7.529598911088799,unknown
75a,4310,10187,-0.33950132521841564,0.1586826347305389,0.025242562742916683,0.46739916148619337,19.73587091860354,ON/OFF
76a,1475,2444,-0.07242225859247137,0.10229132569558108,0.01657484771253109,1.4124293785310742,10.54088624633116,unknown
76b,794,826,-0.0968523002421307,0.056900726392251855,0.019189145338746817,0.5875000000000007,8.01249997955478,unknown
76c,496,527,-0.07874762808349145,0.09013282732447814,0.0246004630493525,1.1445783132530116,6.8649299433579,unknown
77a,236,245,-0.3,0.16530612244897958,0.03978776354155728,0.5510204081632653,11.694704125879793,unknown
82a,3219,5543,-0.13323110229117813,0.23065127187443624,0.02411871149156725,1.7312119160460384,15.087139886923083,unknown
82b,1617,2842,-0.3047149894440535,0.1277269528501056,0.0278868336457285,0.41916859122401856,15.507029151744424,ON/OFF
82c,644,729,-0.29286694101508914,0.18724279835390945,0.029180259136612645,0.6393442622950819,16.45323768789298,unknown
83a,6618,17646,-0.2526918281763572,0.14592542219199822,0.019586463439615183,0.5774837407490471,20.35167050944584,ON/OFF
83b,1058,1300,-0.2876923076923077,0.1530769230769231,0.029928329563457062,0.5320855614973263,14.72749188472639,unknown
83c,639,784,-0.44387755102040816,0.19005102040816324,0.03792725268088306,0.42816091954022983,16.714328790497873,ON/OFF
85a,533,859,-0.3661233993015134,0.18917345750873094,0.04018390137199762,0.5166931637519869,13.81888860590341,unknown
85b,397,468,-0.2799145299145299,0.16239316239316237,0.036278857216825534,0.5801526717557252,12.19188602508012,unknown
86a,1461,3186,-0.32705586942875076,0.41368487131199005,0.037838930572507236,1.264875239923225,19.576154228812783,ON/OFF
86b,1332,1684,-0.04750593824228028,0.062351543942992915,0.01620386445864984,1.312500000000001,6.779708782779271,unknown
86c,526,705,-0.07304964539007092,0.20354609929078016,0.027015984318869733,2.786407766990292,10.238225689509987,unknown
86d,149,151,-0.17549668874172192,0.22847682119205293,0.046548252910089565,1.3018867924528295,8.678596610576797,unknown
87a,3872,9120,-0.38651315789473684,0.21611842105263157,0.027800567544340668,0.5591489361702128,21.676952385457522,ON/OFF
87b,3512,3797,-0.0765077692915459,0.2447985251514353,0.019283382406423175,3.199655765920828,16.662341059831707,unknown
87c,535,595,-0.17899159663865544,0.09159663865546219,0.026294817393321276,0.5117370892018781,10.290553885452933,unknown
