channel_name,weight1,weight2
ch_22a,0.42540210759844704,0.574597892401553
ch_22b,0.4808975136446331,0.5191024863553669
ch_23b,0.49471830985915494,0.5052816901408451
ch_25b,0.45375972342264476,0.5462402765773552
ch_26a,0.48402255639097747,0.5159774436090225
ch_26b,0.502906976744186,0.49709302325581395
ch_27a,0.5000974468916297,0.49990255310837023
ch_33b,0.5058236272878536,0.49417637271214643
ch_36c,0.4792468977321352,0.5207531022678648
ch_37b,0.5006521334078611,0.4993478665921389
ch_37c,0.4975728155339806,0.5024271844660194
ch_71b,0.48887765419615775,0.5111223458038423
ch_71c,0.5044929396662388,0.49550706033376124
ch_75a,0.482830626450116,0.517169373549884
ch_82b,0.5429808286951144,0.45701917130488556
ch_83a,0.5069507400233537,0.49304925997664645
ch_83c,0.4945226917057903,0.5054773082942097
ch_86a,0.4996577686516085,0.5003422313483915
ch_87a,0.490702479338843,0.5092975206611571
